index,category_BUSINESS,category_COLLEGE,category_COMEDY,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9
162,True,False,False,-0.0076771080493927,-0.0346712060272693,-0.038741260766983,-0.0434465892612934,-0.0083607193082571,-0.0273501984775066,0.033515702933073,-0.0429760329425334,0.0482365563511848,0.0156031008809804
353,True,False,False,-0.0121293542906641,0.0041866181418299,0.0072955014184117,0.042514257133007,0.0036401809193193,0.0182279236614704,-0.0275196433067321,-0.0261413268744945,0.0406642258167266,0.0295949336141347
632,True,False,False,-0.003101211739704,0.0245951004326343,0.005149686243385,0.0180438812822103,0.03167574852705,0.049561358988285,0.0406777635216712,-0.0265183094888925,0.0254751853644847,-0.0432559363543987
690,True,False,False,-0.0250639375299215,-0.0365074500441551,0.0272043049335479,0.0102465208619833,-0.0409824177622795,0.0323249995708465,0.0407375916838645,-0.0343950800597667,-0.0447023473680019,-0.0303377695381641
727,True,False,False,0.0292784217745065,0.0206086039543151,-0.0192534811794757,-0.0402119010686874,-0.0484945923089981,-0.0440522544085979,0.0362124815583229,-0.0179986897855997,-0.0127471145242452,0.0351581871509552
837,True,False,False,-0.0354354754090309,0.0005343795055523,-0.000634136784356,0.0436566397547721,-0.0482813604176044,-0.0085876015946269,0.0201196670532226,-0.0190270729362964,-0.0127669544890522,-0.0394542925059795
849,True,False,False,0.0371865928173065,-0.0374711453914642,0.0389989987015724,0.0366553142666816,-0.01272111851722,0.0161955244839191,-0.0244084056466817,0.0366974174976348,0.0445474572479724,-0.0416104979813098
919,True,False,False,0.0205372329801321,0.0462689585983753,0.0159619804471731,-0.043382529169321,0.0275680534541606,-0.0356434881687164,-0.0065360041335225,-0.0409651473164558,0.0463672988116741,0.0270860008895397
967,True,False,False,-0.0409636199474334,0.0204940028488636,0.0223467294126749,0.0447811670601367,0.0357884466648101,-0.0390619561076164,-0.0347008220851421,-0.0432300493121147,-0.0426277182996273,-0.0060621052980422
1046,True,False,False,-0.0506957732141017,-0.1612761318683624,-0.1491029113531112,-0.3880430161952972,0.1568923890590667,0.039173886179924,0.5310418009757996,0.2043847143650055,-0.3611828684806824,0.1031545028090477
1054,True,False,False,-0.0263142827898263,0.0115034338086843,0.0085633276030421,0.0071821869350969,-0.0360668376088142,-0.020561721175909,-0.0442718043923378,0.0026188790798187,0.0403229184448719,0.0263227764517068
1078,True,False,False,0.0721739009022712,-0.0602773129940032,-0.0967631638050079,-0.1382094919681549,0.174187034368515,0.1312790364027023,0.0451634414494037,0.1666349172592163,0.1449305266141891,0.401795893907547
1117,True,False,False,-0.0216610971838235,0.0214095469564199,0.0463987998664379,-0.0440477803349494,-0.0479080900549888,0.0207525379955768,-0.0286245234310627,0.0478207655251026,0.015838062390685,-0.0401879213750362
1121,True,False,False,0.0204116459935903,0.0322841815650463,0.0107762338593602,0.0402312390506267,0.0085850302129983,-0.0322461500763893,0.0197646077722311,0.0338741429150104,-0.0430297031998634,0.0033452748320996
1289,True,False,False,-0.0090456455945968,0.0285176932811737,-0.0394496396183967,-0.0020628958009183,-0.0001776695280568,0.0280568953603506,0.0063603282906115,0.0472387485206127,-0.0182168129831552,-0.0395213849842548
1430,True,False,False,-0.01344895362854,-0.0011665255296975,0.0303236003965139,0.0312512591481208,-0.0398924760520458,-0.0358299016952514,-0.0181266125291585,0.0061877309344708,0.0471953824162483,-0.0068530589342117
